Date,region,preciptation (mm),temp_max (celcius),temp_min (celcius),soil_moisture (mm)
1/6/2017,lhr,115,38.1,26,11.5
1/7/2017,lhr,138,35.6,27.1,10.5
1/8/2017,lhr,113,35.1,26.5,9.7
1/9/2017,lhr,48,34.5,24.2,9
1/10/2017,lhr,0,34,19.3,8.4
1/11/2017,lhr,15,25.8,10.1,7.8
1/12/2017,lhr,14,21.4,6.9,7.4
1/1/2018,lhr,2,20.2,6,7
1/2/2018,lhr,12,24.1,10.4,6.6
1/3/2018,lhr,9,30.1,16.5,6.3
1/4/2018,lhr,16,35.4,20.5,6
1/5/2018,lhr,9,39.1,24.1,5.7
1/6/2018,lhr,73,39.4,27,5.4
1/7/2018,lhr,169,35.4,26.9,7.5
1/8/2018,lhr,72,35.4,27.1,7.1
1/9/2018,lhr,72,34.2,24.2,6.7
1/10/2018,lhr,6,31.9,18.1,6.4
1/11/2018,lhr,5,26.5,11.1,6.1
1/12/2018,lhr,3,20.6,5.9,5.8
1/1/2019,lhr,37,18.4,4.8,5.5
1/2/2019,lhr,50,21.3,7.3,5.5
1/3/2019,lhr,12,25.6,12.1,5.2
1/4/2019,lhr,24,34.6,19.2,5
1/5/2019,lhr,16,38.1,22.8,4.8
1/6/2019,lhr,13,39.9,26.7,4.6
1/7/2019,lhr,135,35.7,26.5,4.5
1/8/2019,lhr,96,35.4,26.6,4.3
1/9/2019,lhr,26,35.9,25.3,4.2
1/10/2019,lhr,6,32.9,18.1,4
1/11/2019,lhr,12,27.5,11.4,3.9
1/12/2019,lhr,14,19.2,4,3.8
1/1/2020,lhr,33,18,4.7,3.7
1/2/2020,lhr,61,22.9,9.1,3.6
1/3/2020,lhr,70,25.8,12.2,3.5
1/4/2020,lhr,11,32.5,17.5,3.4
1/5/2020,lhr,41,37.6,23,3.3
1/6/2020,lhr,10,38.7,26.2,3.2
1/7/2020,lhr,105,36.2,27.5,3.1
1/8/2020,lhr,149,35,26.5,6.5
1/9/2020,lhr,53,35.7,25.5,6.2
1/10/2020,lhr,0,32.5,18,5.9
1/11/2020,lhr,6,25.5,9.7,5.6
1/12/2020,lhr,13,20.2,5.5,5.4
1/1/2021,lhr,62,18.3,4.9,20.5
1/2/2021,lhr,7,24.2,10.4,17.5
1/3/2021,lhr,9,29.3,15.5,15.3
1/4/2021,lhr,18,33.5,18.3,13.5
1/5/2021,lhr,17,37.5,22.8,12.2
1/6/2021,lhr,7,38.9,26.3,11.1
1/7/2021,lhr,150,35.9,27.2,10.2
1/8/2021,lhr,28,35.8,27.7,9.4
1/9/2021,lhr,114,34.4,24.4,8.7
1/10/2021,lhr,50,33.2,18.9,8.1
1/11/2021,lhr,0,26.4,10.8,7.6
1/12/2021,lhr,2,21,6.2,7.2
1/1/2022,lhr,76,18.8,5.5,41
1/2/2022,lhr,23,22,8.4,30.9
1/3/2022,lhr,3,30.9,17.4,24.3
1/4/2022,lhr,4,38,23.3,20.1
1/5/2022,lhr,16,39.8,25.4,17.2
1/6/2022,lhr,75,39.4,27.4,15
1/7/2022,lhr,205,34.4,25.9,76.4
1/8/2022,lhr,59,34.9,26.8,42.1
1/9/2022,lhr,30,34.6,25.2,30.3
1/10/2022,lhr,3,32.9,19.3,23.9
1/11/2022,lhr,12,26.7,11.1,19.8
1/12/2022,lhr,3,20.9,6.4,17
1/1/2023,lhr,19,17.7,4.6,14.9
1/2/2023,lhr,2,25.1,11.2,13.3
1/3/2023,lhr,39,28.6,15,11.9
1/4/2023,lhr,17,33.4,18.6,10.9
1/5/2023,lhr,44,36.2,21.7,10
1/6/2023,lhr,57,37.4,25.6,9.2
1/7/2023,lhr,189,34.5,26.1,45.4
1/8/2023,lhr,24,36.1,28.1,31.8
1/9/2023,lhr,91,34.9,25.3,24.8
1/10/2023,lhr,17,31.7,17.9,20.5
1/11/2023,lhr,24,27.2,11.7,17.4
1/12/2023,lhr,0,21.2,6.7,15.2
